"","round","gender","player1","player2","p1_sets_won","p2_sets_won","p1_set1_score","p1_set2_score","p1_set3_score","p1_set4_score","p1_set5_score","p2_set1_score","p2_set2_score","p2_set3_score","p2_set4_score","p2_set5_score","p1_seed","p2_seed","date_of_match","tournament","dates","location","prize_money_tier"
"1","Final","m","Ho Ka Hei","Elijah Thomas","1","3","9","7","11","7","","11","11","9","11","","7","6","06 Aug 2023 | 13:00","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"2","Semifinal","m","Ho Ka Hei","Lam Shing Fung","3","2","11","9","7","11","11","7","11","11","7","5","7","8","05 Aug 2023 | 14:00","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"3","Semifinal","m","Harley Lam","Elijah Thomas","1","3","3","14","4","5","","11","12","11","11","","3","6","05 Aug 2023 | 15:00","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"4","Quarterfinal","m","Tomotaka Endo","Ho Ka Hei","0","3","6","2","10","","","11","11","12","","","1","7","04 Aug 2023 | 18:30","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"5","Quarterfinal","m","Lam Shing Fung","Paul Gonzalez","3","1","11","11","9","12","","7","9","11","10","","8","16","04 Aug 2023 | 20:00","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"6","Quarterfinal","m","Harley Lam","Dylan Molinaro","3","2","11","5","6","11","11","8","11","11","8","8","3","unseeded","04 Aug 2023 | 20:45","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"7","Quarterfinal","m","Elijah Thomas","Naoki Hayashi","3","1","8","11","11","11","","11","5","7","6","","6","10","04 Aug 2023 | 19:15","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"8","Round of 16","m","Tomotaka Endo","Brendan MacDonald","3","1","7","11","11","11","","11","4","7","9","","1","WC","03 Aug 2023 | 18:30","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"9","Round of 16","m","Shamil Wakeel","Ho Ka Hei","0","3","9","8","3","","","11","11","11","","","15","7","03 Aug 2023 | 18:30","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"10","Round of 16","m","Lam Shing Fung","Mohamed Gohar","3","2","11","8","6","11","11","5","11","11","8","4","8","14","03 Aug 2023 | 20:00","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
"11","Round of 16","m","Paul Gonzalez","Sven Stettler","3","0","11","11","11","","","4","4","8","","","16","unseeded","03 Aug 2023 | 20:00","City of Devonport Tasmanian Open 2023","02 Aug - 06 Aug","DEVONPORT, AUSTRALIA","$6,000"
